requested_timestamp,symbol,name,error,datetime,open,high,low,close,volume,query_timestamp
2025-11-17 17:12 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:12 UTC,,,,,,,2025-11-17 17:12
2025-11-17 17:12 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:12 UTC,,,,,,,2025-11-17 17:12
2025-11-17 17:12 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:12 UTC,4074.800048828125,4075.800048828125,4074.5,4074.800048828125,273,2025-11-17 17:12
2025-11-17 17:13 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:13 UTC,,,,,,,2025-11-17 17:13
2025-11-17 17:13 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:13 UTC,,,,,,,2025-11-17 17:13
2025-11-17 17:13 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:13 UTC,4074.800048828125,4076.39990234375,4074.800048828125,4075.60009765625,129,2025-11-17 17:13
2025-11-17 17:14 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:14 UTC,,,,,,,2025-11-17 17:14
2025-11-17 17:14 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:14 UTC,,,,,,,2025-11-17 17:14
2025-11-17 17:14 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:14 UTC,4075.60009765625,4075.89990234375,4074.60009765625,4074.800048828125,61,2025-11-17 17:14
2025-11-17 17:15 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:15 UTC,,,,,,,2025-11-17 17:15
2025-11-17 17:15 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:15 UTC,,,,,,,2025-11-17 17:15
2025-11-17 17:15 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:15 UTC,4075.0,4075.5,4073.0,4074.5,119,2025-11-17 17:15
2025-11-17 17:16 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:16 UTC,,,,,,,2025-11-17 17:16
2025-11-17 17:16 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:16 UTC,,,,,,,2025-11-17 17:16
2025-11-17 17:16 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:16 UTC,4074.89990234375,4076.199951171875,4074.39990234375,4075.89990234375,77,2025-11-17 17:16
2025-11-17 17:17 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:17 UTC,,,,,,,2025-11-17 17:17
2025-11-17 17:17 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:17 UTC,,,,,,,2025-11-17 17:17
2025-11-17 17:17 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:17 UTC,4075.699951171875,4077.10009765625,4075.0,4076.89990234375,100,2025-11-17 17:17
2025-11-17 17:18 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:18 UTC,,,,,,,2025-11-17 17:18
2025-11-17 17:18 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:18 UTC,,,,,,,2025-11-17 17:18
2025-11-17 17:18 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:18 UTC,4076.800048828125,4078.10009765625,4076.5,4077.89990234375,143,2025-11-17 17:18
2025-11-17 17:19 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:19 UTC,,,,,,,2025-11-17 17:19
2025-11-17 17:19 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:19 UTC,,,,,,,2025-11-17 17:19
2025-11-17 17:19 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:19 UTC,4078.0,4079.0,4077.39990234375,4077.60009765625,210,2025-11-17 17:19
2025-11-17 17:20 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:20 UTC,,,,,,,2025-11-17 17:20
2025-11-17 17:20 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:20 UTC,,,,,,,2025-11-17 17:20
2025-11-17 17:20 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:20 UTC,4077.699951171875,4079.800048828125,4077.199951171875,4079.300048828125,119,2025-11-17 17:20
2025-11-17 17:21 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:21 UTC,,,,,,,2025-11-17 17:21
2025-11-17 17:21 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:21 UTC,,,,,,,2025-11-17 17:21
2025-11-17 17:21 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:21 UTC,4079.199951171875,4079.800048828125,4076.60009765625,4077.10009765625,154,2025-11-17 17:21
2025-11-17 17:22 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:22 UTC,,,,,,,2025-11-17 17:22
2025-11-17 17:22 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:22 UTC,,,,,,,2025-11-17 17:22
2025-11-17 17:22 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:22 UTC,4077.300048828125,4078.39990234375,4076.5,4078.10009765625,116,2025-11-17 17:22
2025-11-17 17:23 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:23 UTC,,,,,,,2025-11-17 17:23
2025-11-17 17:23 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:23 UTC,,,,,,,2025-11-17 17:23
2025-11-17 17:23 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:23 UTC,4078.0,4078.699951171875,4077.800048828125,4078.699951171875,48,2025-11-17 17:23
2025-11-17 17:24 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:24 UTC,,,,,,,2025-11-17 17:24
2025-11-17 17:24 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:24 UTC,,,,,,,2025-11-17 17:24
2025-11-17 17:24 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:24 UTC,4078.300048828125,4079.5,4078.0,4079.0,352,2025-11-17 17:24
2025-11-17 17:25 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:25 UTC,,,,,,,2025-11-17 17:25
2025-11-17 17:25 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:25 UTC,,,,,,,2025-11-17 17:25
2025-11-17 17:25 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:25 UTC,4078.800048828125,4080.800048828125,4077.5,4080.0,122,2025-11-17 17:25
2025-11-17 17:26 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:26 UTC,,,,,,,2025-11-17 17:26
2025-11-17 17:26 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:26 UTC,,,,,,,2025-11-17 17:26
2025-11-17 17:26 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:26 UTC,4080.0,4081.300048828125,4079.60009765625,4080.89990234375,107,2025-11-17 17:26
2025-11-17 17:27 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:27 UTC,,,,,,,2025-11-17 17:27
2025-11-17 17:27 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:27 UTC,,,,,,,2025-11-17 17:27
2025-11-17 17:27 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:27 UTC,4081.300048828125,4081.89990234375,4079.60009765625,4079.800048828125,181,2025-11-17 17:27
2025-11-17 17:28 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:28 UTC,,,,,,,2025-11-17 17:28
2025-11-17 17:28 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:28 UTC,,,,,,,2025-11-17 17:28
2025-11-17 17:28 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:28 UTC,4079.699951171875,4079.89990234375,4077.89990234375,4078.199951171875,116,2025-11-17 17:28
2025-11-17 17:29 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:29 UTC,,,,,,,2025-11-17 17:29
2025-11-17 17:29 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:29 UTC,,,,,,,2025-11-17 17:29
2025-11-17 17:29 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:29 UTC,4078.10009765625,4079.39990234375,4077.89990234375,4078.5,122,2025-11-17 17:29
2025-11-17 17:30 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:30 UTC,,,,,,,2025-11-17 17:30
2025-11-17 17:30 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:30 UTC,,,,,,,2025-11-17 17:30
2025-11-17 17:30 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:30 UTC,4078.60009765625,4079.0,4077.0,4077.800048828125,308,2025-11-17 17:30
2025-11-17 17:31 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:31 UTC,,,,,,,2025-11-17 17:31
2025-11-17 17:31 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:31 UTC,,,,,,,2025-11-17 17:31
2025-11-17 17:31 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:31 UTC,4077.800048828125,4078.800048828125,4077.699951171875,4078.5,106,2025-11-17 17:31
2025-11-17 17:32 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:32 UTC,,,,,,,2025-11-17 17:32
2025-11-17 17:32 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:32 UTC,,,,,,,2025-11-17 17:32
2025-11-17 17:32 UTC,GC=F,Gold Futures (GC=F),,2025-11-17 17:32 UTC,4078.89990234375,4080.39990234375,4078.699951171875,4080.300048828125,121,2025-11-17 17:32
2025-11-17 17:33 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-17 17:33 UTC,,,,,,,2025-11-17 17:33
2025-11-17 17:33 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-17 17:33 UTC,,,,,,,2025-11-17 17:33
