Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-02 00:00:00+00:00,110033.5546875,110033.78125,109903.5703125,109915.125,1632915456,0.0,0.0
2025-11-02 01:00:00+00:00,109923.609375,110063.5,109880.5390625,109935.140625,2336927744,0.0,0.0
2025-11-02 02:00:00+00:00,109908.6484375,110141.8203125,109871.640625,109995.2265625,2995140608,0.0,0.0
2025-11-02 03:00:00+00:00,109991.40625,110003.46875,109925.125,109994.1796875,2910433280,0.0,0.0
2025-11-02 04:00:00+00:00,109999.671875,110666.9921875,109988.9921875,110666.9921875,5758783488,0.0,0.0
2025-11-02 05:00:00+00:00,110626.8359375,110665.1171875,110292.3828125,110493.890625,3883778048,0.0,0.0
2025-11-02 06:00:00+00:00,110476.84375,110690.0,110299.125,110636.0703125,3219970048,0.0,0.0
2025-11-02 07:00:00+00:00,110636.3203125,110980.5546875,110437.53125,110886.0078125,3740784640,0.0,0.0
2025-11-02 08:00:00+00:00,110925.125,110930.125,110690.609375,110754.9921875,3322195968,0.0,0.0
2025-11-02 09:00:00+00:00,110792.9375,111000.359375,110502.34375,110665.265625,806590464,0.0,0.0
2025-11-02 10:00:00+00:00,110663.7578125,110799.5078125,110361.7109375,110400.8359375,4104480768,0.0,0.0
2025-11-02 11:00:00+00:00,110503.875,111123.921875,110503.875,111113.234375,4638652416,0.0,0.0
2025-11-02 12:00:00+00:00,111133.6640625,111152.6953125,110709.3359375,110778.109375,6456479744,0.0,0.0
2025-11-02 13:00:00+00:00,110712.671875,110721.3515625,110258.9375,110529.6328125,4174841856,0.0,0.0
2025-11-02 14:00:00+00:00,110494.6171875,110625.1484375,110218.09375,110398.4765625,5906018304,0.0,0.0
2025-11-02 15:00:00+00:00,110396.3359375,110512.2890625,110125.2421875,110125.2421875,3873648640,0.0,0.0
2025-11-02 16:00:00+00:00,109958.9609375,110122.578125,109747.109375,110122.578125,8387526656,0.0,0.0
2025-11-02 17:00:00+00:00,110119.375,110252.1484375,110034.1640625,110153.3203125,3144157184,0.0,0.0
2025-11-02 18:00:00+00:00,110173.4140625,110309.9453125,110160.984375,110268.265625,3892201472,0.0,0.0
2025-11-02 19:00:00+00:00,110315.734375,110315.734375,109970.0078125,110172.5859375,3924492288,0.0,0.0
2025-11-02 20:00:00+00:00,110173.359375,110173.359375,109898.265625,110025.3984375,2978164736,0.0,0.0
