requested_timestamp,symbol,name,datetime,open,high,low,close,volume,query_timestamp
2025-11-25 19:56:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 19:56:00+00:00,86799.5703125,86799.5703125,86799.5703125,86799.5703125,93839360.0,2025-11-25 19:56:00+00:00
2025-11-25 19:58:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 19:58:00+00:00,86800.15625,86800.15625,86800.15625,86800.15625,261066752.0,2025-11-25 19:58:00+00:00
2025-11-25 19:59:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 19:59:00+00:00,86819.25,86819.25,86819.25,86819.25,0.0,2025-11-25 19:59:00+00:00
2025-11-25 20:00:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:00:00+00:00,86848.3359375,86848.3359375,86848.3359375,86848.3359375,0.0,2025-11-25 20:00:00+00:00
2025-11-25 20:02:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:02:00+00:00,86851.125,86851.125,86851.125,86851.125,0.0,2025-11-25 20:02:00+00:00
2025-11-25 20:03:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:03:00+00:00,86822.1875,86822.1875,86822.1875,86822.1875,0.0,2025-11-25 20:03:00+00:00
2025-11-25 20:04:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:04:00+00:00,86796.34375,86796.34375,86796.34375,86796.34375,59088896.0,2025-11-25 20:04:00+00:00
2025-11-25 20:05:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:05:00+00:00,86781.0390625,86781.0390625,86781.0390625,86781.0390625,266907648.0,2025-11-25 20:05:00+00:00
2025-11-25 20:06:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:06:00+00:00,86750.7734375,86750.7734375,86750.7734375,86750.7734375,0.0,2025-11-25 20:06:00+00:00
2025-11-25 20:08:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:08:00+00:00,86847.453125,86847.453125,86847.453125,86847.453125,362053632.0,2025-11-25 20:08:00+00:00
2025-11-25 20:09:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:09:00+00:00,86869.1953125,86869.1953125,86869.1953125,86869.1953125,0.0,2025-11-25 20:09:00+00:00
2025-11-25 20:10:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:10:00+00:00,86870.515625,86870.515625,86870.515625,86870.515625,201048064.0,2025-11-25 20:10:00+00:00
2025-11-25 20:11:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:11:00+00:00,86874.9921875,86874.9921875,86874.9921875,86874.9921875,0.0,2025-11-25 20:11:00+00:00
2025-11-25 20:12:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:12:00+00:00,86853.8984375,86853.8984375,86853.8984375,86853.8984375,118013952.0,2025-11-25 20:12:00+00:00
2025-11-25 20:13:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:13:00+00:00,86874.7578125,86874.7578125,86874.7578125,86874.7578125,0.0,2025-11-25 20:13:00+00:00
2025-11-25 20:14:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:14:00+00:00,86940.5859375,86940.5859375,86940.5859375,86940.5859375,301015040.0,2025-11-25 20:14:00+00:00
2025-11-25 20:16:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:16:00+00:00,87055.9375,87055.9375,87055.9375,87055.9375,0.0,2025-11-25 20:16:00+00:00
2025-11-25 20:17:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:17:00+00:00,87028.875,87028.875,87028.875,87028.875,145846272.0,2025-11-25 20:17:00+00:00
2025-11-25 20:18:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:18:00+00:00,87003.5625,87003.5625,87003.5625,87003.5625,41242624.0,2025-11-25 20:18:00+00:00
2025-11-25 20:19:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:19:00+00:00,87000.046875,87000.046875,87000.046875,87000.046875,0.0,2025-11-25 20:19:00+00:00
2025-11-25 20:21:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:21:00+00:00,87065.1015625,87065.1015625,87065.1015625,87065.1015625,87703552.0,2025-11-25 20:21:00+00:00
2025-11-25 20:22:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:22:00+00:00,87075.21875,87075.21875,87075.21875,87075.21875,0.0,2025-11-25 20:22:00+00:00
2025-11-25 20:23:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:23:00+00:00,87080.4140625,87080.4140625,87080.4140625,87080.4140625,0.0,2025-11-25 20:23:00+00:00
2025-11-25 20:24:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:24:00+00:00,87073.890625,87073.890625,87073.890625,87073.890625,23031808.0,2025-11-25 20:24:00+00:00
2025-11-25 20:26:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:26:00+00:00,86889.6484375,86889.6484375,86889.6484375,86889.6484375,148631552.0,2025-11-25 20:26:00+00:00
2025-11-25 20:27:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:27:00+00:00,86955.1171875,86955.1171875,86955.1171875,86955.1171875,0.0,2025-11-25 20:27:00+00:00
2025-11-25 20:28:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:28:00+00:00,87065.359375,87065.359375,87065.359375,87065.359375,889004032.0,2025-11-25 20:28:00+00:00
2025-11-25 20:29:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:29:00+00:00,87034.0078125,87034.0078125,87034.0078125,87034.0078125,0.0,2025-11-25 20:29:00+00:00
2025-11-25 20:30:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:30:00+00:00,87028.140625,87028.140625,87028.140625,87028.140625,0.0,2025-11-25 20:30:00+00:00
2025-11-25 20:32:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:32:00+00:00,87271.4375,87271.4375,87271.4375,87271.4375,134471680.0,2025-11-25 20:32:00+00:00
2025-11-25 20:33:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:33:00+00:00,87254.515625,87254.515625,87254.515625,87254.515625,0.0,2025-11-25 20:33:00+00:00
2025-11-25 20:34:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:34:00+00:00,87256.625,87256.625,87256.625,87256.625,807858176.0,2025-11-25 20:34:00+00:00
2025-11-25 20:35:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:35:00+00:00,87193.015625,87193.015625,87193.015625,87193.015625,123224064.0,2025-11-25 20:35:00+00:00
2025-11-25 20:36:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:36:00+00:00,87218.4765625,87218.4765625,87218.4765625,87218.4765625,83349504.0,2025-11-25 20:36:00+00:00
2025-11-25 20:38:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:38:00+00:00,87114.9296875,87114.9296875,87114.9296875,87114.9296875,0.0,2025-11-25 20:38:00+00:00
2025-11-25 20:39:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:39:00+00:00,87120.515625,87120.515625,87120.515625,87120.515625,0.0,2025-11-25 20:39:00+00:00
2025-11-25 20:40:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:40:00+00:00,87123.421875,87123.421875,87123.421875,87123.421875,0.0,2025-11-25 20:40:00+00:00
2025-11-25 20:41:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:41:00+00:00,87114.15625,87114.15625,87114.15625,87114.15625,0.0,2025-11-25 20:41:00+00:00
2025-11-25 20:43:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:43:00+00:00,87120.0234375,87120.0234375,87120.0234375,87120.0234375,46821376.0,2025-11-25 20:43:00+00:00
2025-11-25 20:44:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:44:00+00:00,87126.5859375,87126.5859375,87126.5859375,87126.5859375,59146240.0,2025-11-25 20:44:00+00:00
2025-11-25 20:46:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:46:00+00:00,87125.359375,87125.359375,87125.359375,87125.359375,44122112.0,2025-11-25 20:46:00+00:00
2025-11-25 20:47:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:47:00+00:00,87254.2109375,87254.2109375,87254.2109375,87254.2109375,34955264.0,2025-11-25 20:47:00+00:00
2025-11-25 20:48:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:48:00+00:00,87293.5859375,87293.5859375,87293.5859375,87293.5859375,31121408.0,2025-11-25 20:48:00+00:00
2025-11-25 20:49:00+00:00,BTC-USD,Bitcoin / US Dollar,2025-11-25 20:49:00+00:00,87293.71875,87293.71875,87293.71875,87293.71875,122175488.0,2025-11-25 20:49:00+00:00
